symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401,74.8114280774,75.9820987105,73.2505338999,73.7546736342,173985604,0.0,1.0
AAPL,2020-02-04 00:00:00+00:00,318.85,319.64,313.63,315.31,34154134,77.2812280259,77.472704175,76.0160311926,76.423220978,136616536,0.0,1.0
AAPL,2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718,77.9114026938,78.713663521,77.3054655131,78.4131186794,118826872,0.0,1.0
AAPL,2020-02-06 00:00:00+00:00,325.21,325.22,320.26,322.57,26356385,78.8227322136,78.8251559623,77.6229765958,78.1828625508,105425540,0.0,1.0
AAPL,2020-02-07 00:00:00+00:00,320.03,323.4,318.0,322.37,29421012,77.7538590268,78.5726275951,77.2606542216,78.322380822,117684048,0.77,1.0
AAPL,2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215,78.1231552357,78.1231552357,76.2523783882,76.3325545388,109348860,0.0,1.0
AAPL,2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780,77.6518166533,78.6941066112,77.4331544244,78.6212192016,94323120,0.0,1.0
AAPL,2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573,79.4958681173,79.5007272779,78.1037185931,78.1037185931,113730292,0.0,1.0
AAPL,2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892,78.9297759024,79.2577692458,78.5604796935,78.7645644405,94747568,0.0,1.0
AAPL,2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.74,20028447,78.949212545,79.1994593181,78.4390006775,78.8981913582,80113788,0.0,1.0
AAPL,2020-02-18 00:00:00+00:00,319.0,319.75,314.61,315.36,38190545,77.5036122537,77.6858307778,76.4370264926,76.6192450167,152762180,0.0,1.0
AAPL,2020-02-19 00:00:00+00:00,323.62,324.57,320.0,320.0,23495991,78.6260783622,78.8568884927,77.7465702859,77.7465702859,93983964,0.0,1.0
AAPL,2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489,77.8194576955,78.8763251353,77.3116754083,78.3855499104,100565956,0.0,1.0
AAPL,2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415,76.0580119625,77.8559014003,75.4384689805,77.4112882015,129705660,0.0,1.0
AAPL,2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828,72.4452260245,73.9029742173,70.2707516368,72.2217046349,222195312,0.0,1.0
AAPL,2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364,69.9913498998,73.5020934643,69.5175817372,73.1182197735,230673456,0.0,1.0
AAPL,2020-02-26 00:00:00+00:00,292.65,297.88,286.5,286.53,49678431,71.1016681067,72.3723386148,69.6074762091,69.61476495,198713724,0.0,1.0
AAPL,2020-02-27 00:00:00+00:00,273.52,286.0,272.96,281.1,80151381,66.4538809518,69.485997193,66.3178244538,68.2955028355,320605524,0.0,1.0
AAPL,2020-02-28 00:00:00+00:00,273.36,278.41,256.37,257.26,106721230,66.4150076667,67.641945729,62.2871507006,62.5033833492,426884920,0.0,1.0
AAPL,2020-03-02 00:00:00+00:00,298.81,301.44,277.72,282.28,85349339,72.5982895847,73.2372692093,67.4743046868,68.5821933134,341397356,0.0,1.0
AAPL,2020-03-03 00:00:00+00:00,289.32,304.0,285.8,303.67,79868852,70.2926178597,73.8592417716,69.4374055866,73.779065621,319475408,0.0,1.0
